Secteur,trimestre,code_region,code_dep,nombre_creation
Activites de services administratifs et de soutien,12018,28,76,125
Activites de services administratifs et de soutien,12018,32,2,79
Activites de services administratifs et de soutien,12018,32,59,237
Activites de services administratifs et de soutien,12018,32,60,145
Activites de services administratifs et de soutien,12018,32,62,170
Activites de services administratifs et de soutien,12018,32,80,70
Activites de services administratifs et de soutien,12018,44,8,37
Activites de services administratifs et de soutien,12018,44,10,39
Activites de services administratifs et de soutien,12018,44,51,106
Activites de services administratifs et de soutien,12018,44,52,19
Activites de services administratifs et de soutien,12018,44,54,80
Activites de services administratifs et de soutien,12018,44,55,14
Activites de services administratifs et de soutien,12018,44,57,97
Activites de services administratifs et de soutien,12018,44,67,138
Activites de services administratifs et de soutien,12018,44,68,86
Activites de services administratifs et de soutien,12018,44,88,67
Activites de services administratifs et de soutien,12018,44,88,2
Activites de services administratifs et de soutien,12018,52,44,155
Activites de services administratifs et de soutien,12018,52,49,91
Activites de services administratifs et de soutien,12018,52,53,49
Activites de services administratifs et de soutien,12018,52,72,63
Activites de services administratifs et de soutien,12018,52,85,92
Activites de services administratifs et de soutien,12018,52,44,1
Activites de services administratifs et de soutien,12018,53,22,62
Activites de services administratifs et de soutien,12018,53,29,71
Activites de services administratifs et de soutien,12018,53,35,140
Activites de services administratifs et de soutien,12018,53,56,105
Activites de services administratifs et de soutien,12018,75,16,80
Activites de services administratifs et de soutien,12018,75,17,137
Activites de services administratifs et de soutien,12018,75,19,43
Activites de services administratifs et de soutien,12018,75,23,24
Activites de services administratifs et de soutien,12018,75,24,86
Activites de services administratifs et de soutien,12018,75,33,356
Activites de services administratifs et de soutien,12018,75,40,92
Activites de services administratifs et de soutien,12018,75,47,46
Activites de services administratifs et de soutien,12018,75,64,112
Activites de services administratifs et de soutien,12018,75,79,47
Activites de services administratifs et de soutien,12018,75,86,66
Activites de services administratifs et de soutien,12018,75,87,44
Activites de services administratifs et de soutien,12018,75,33,1
Activites de services administratifs et de soutien,12018,76,9,138
Activites de services administratifs et de soutien,12018,76,11,114
Activites de services administratifs et de soutien,12018,76,12,41
Activites de services administratifs et de soutien,12018,76,30,201
Activites de services administratifs et de soutien,12018,76,31,271
Activites de services administratifs et de soutien,12018,76,32,80
Activites de services administratifs et de soutien,12018,76,34,206
Activites de services administratifs et de soutien,12018,76,46,40
Activites de services administratifs et de soutien,12018,76,48,4
Activites de services administratifs et de soutien,12018,76,65,63
Activites de services administratifs et de soutien,12018,76,66,100
Activites de services administratifs et de soutien,12018,76,81,66
Activites de services administratifs et de soutien,12018,76,82,73
Activites de services administratifs et de soutien,12018,84,1,91
Activites de services administratifs et de soutien,12018,84,3,69
