Secteur,trimestre,code_region,code_dep,nombre_creation
Activites de services administratifs et de soutien,012018,28,076,125
Activites de services administratifs et de soutien,012018,32,002,79
Activites de services administratifs et de soutien,012018,32,059,237
Activites de services administratifs et de soutien,012018,32,060,145
Activites de services administratifs et de soutien,012018,32,062,170
Activites de services administratifs et de soutien,012018,32,080,70
Activites de services administratifs et de soutien,012018,44,008,37
Activites de services administratifs et de soutien,012018,44,010,39
Activites de services administratifs et de soutien,012018,44,051,106
Activites de services administratifs et de soutien,012018,44,052,19
Activites de services administratifs et de soutien,012018,44,054,80
Activites de services administratifs et de soutien,012018,44,055,14
Activites de services administratifs et de soutien,012018,44,057,97
Activites de services administratifs et de soutien,012018,44,067,138
Activites de services administratifs et de soutien,012018,44,068,86
Activites de services administratifs et de soutien,012018,44,088,67
Activites de services administratifs et de soutien,012018,44,88,2
Activites de services administratifs et de soutien,012018,52,044,155
Activites de services administratifs et de soutien,012018,52,049,91
Activites de services administratifs et de soutien,012018,52,053,49
Activites de services administratifs et de soutien,012018,52,072,63
Activites de services administratifs et de soutien,012018,52,085,92
Activites de services administratifs et de soutien,012018,52,44,1
Activites de services administratifs et de soutien,012018,53,022,62
Activites de services administratifs et de soutien,012018,53,029,71
Activites de services administratifs et de soutien,012018,53,035,140
Activites de services administratifs et de soutien,012018,53,056,105
Activites de services administratifs et de soutien,012018,75,016,80
Activites de services administratifs et de soutien,012018,75,017,137
Activites de services administratifs et de soutien,012018,75,019,43
Activites de services administratifs et de soutien,012018,75,023,24
Activites de services administratifs et de soutien,012018,75,024,86
Activites de services administratifs et de soutien,012018,75,033,356
Activites de services administratifs et de soutien,012018,75,040,92
Activites de services administratifs et de soutien,012018,75,047,46
Activites de services administratifs et de soutien,012018,75,064,112
Activites de services administratifs et de soutien,012018,75,079,47
Activites de services administratifs et de soutien,012018,75,086,66
Activites de services administratifs et de soutien,012018,75,087,44
Activites de services administratifs et de soutien,012018,75,33,1
Activites de services administratifs et de soutien,012018,76,009,138
Activites de services administratifs et de soutien,012018,76,011,114
Activites de services administratifs et de soutien,012018,76,012,41
Activites de services administratifs et de soutien,012018,76,030,201
Activites de services administratifs et de soutien,012018,76,031,271
Activites de services administratifs et de soutien,012018,76,032,80
Activites de services administratifs et de soutien,012018,76,034,206
Activites de services administratifs et de soutien,012018,76,046,40
Activites de services administratifs et de soutien,012018,76,048,4
Activites de services administratifs et de soutien,012018,76,065,63
Activites de services administratifs et de soutien,012018,76,066,100
Activites de services administratifs et de soutien,012018,76,081,66
Activites de services administratifs et de soutien,012018,76,082,73
Activites de services administratifs et de soutien,012018,84,001,91
Activites de services administratifs et de soutien,012018,84,003,69
Activites de services administratifs et de soutien,012018,84,007,64
Activites de services administratifs et de soutien,012018,84,015,43
Activites de services administratifs et de soutien,012018,84,026,74
Activites de services administratifs et de soutien,012018,84,038,228
Activites de services administratifs et de soutien,012018,84,042,118
Activites de services administratifs et de soutien,012018,84,043,34
Activites de services administratifs et de soutien,012018,84,063,71
Activites de services administratifs et de soutien,012018,84,069,379
Activites de services administratifs et de soutien,012018,84,073,108
Activites de services administratifs et de soutien,012018,84,074,135
Activites de services administratifs et de soutien,012018,93,004,49
Activites de services administratifs et de soutien,012018,93,005,37
Activites de services administratifs et de soutien,012018,93,006,344
Activites de services administratifs et de soutien,012018,93,013,397
Activites de services administratifs et de soutien,012018,93,083,287
Activites de services administratifs et de soutien,012018,93,084,120
Activites de services administratifs et de soutien,012018,94,2A,64
Activites de services administratifs et de soutien,012018,94,2B,53
Activites de services administratifs et de soutien,012019,01,971,462
Activites de services administratifs et de soutien,012019,02,972,787
Activites de services administratifs et de soutien,012019,03,973,57
Activites de services administratifs et de soutien,012019,04,974,314
Activites de services administratifs et de soutien,012019,06,976,12
Activites de services administratifs et de soutien,012019,11,075,941
Activites de services administratifs et de soutien,012019,11,077,308
Activites de services administratifs et de soutien,012019,11,078,227
Activites de services administratifs et de soutien,012019,11,091,241
Activites de services administratifs et de soutien,012019,11,092,303
